name,format,download_url,downloads,date_text,topic_name,category,post_url,post#
(K) Kijun C-Cross,ex4,https://www.forexfactory.com/attachment/file/2810891?d=1526713845,664,"May 19, 2018 1:13pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11076538#post11076538,592
(H) HiLo Bars,mq4,https://www.forexfactory.com/attachment/file/2810893?d=1526713852,699,"May 19, 2018 1:13pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11076538#post11076538,592
(C) Keltner Channel,mq4,https://www.forexfactory.com/attachment/file/2810895?d=1526713859,698,"May 19, 2018 1:13pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11076538#post11076538,592
(P) WE Pivots,mq4,https://www.forexfactory.com/attachment/file/2810897?d=1526713866,689,"May 19, 2018 1:13pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11076538#post11076538,592
Level Sensor,mq4,https://www.forexfactory.com/attachment/file/2810900?d=1526713936,845,"May 19, 2018 1:13pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11076538#post11076538,592
Parabolic SAR,mq4,https://www.forexfactory.com/attachment/file/2810902?d=1526713947,707,"May 19, 2018 1:13pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11076538#post11076538,592
(B) DSS Bressert,mq4,https://www.forexfactory.com/attachment/file/2810904?d=1526713961,728,"May 19, 2018 1:13pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11076538#post11076538,592
CHART,tpl,https://www.forexfactory.com/attachment/file/2810905?d=1526714062,608,"May 19, 2018 1:14pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11076539#post11076539,593
TRENDPOWER,tpl,https://www.forexfactory.com/attachment/file/2810908?d=1526714069,693,"May 19, 2018 1:14pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11076539#post11076539,593
candle(1),ex4,https://www.forexfactory.com/attachment/file/2812342?d=1526859252,1102,"May 21, 2018 5:34am|Edited                    2:54pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11079530#post11079530,595
PriceAction(4),ex4,https://www.forexfactory.com/attachment/file/2812344?d=1526859258,1317,"May 21, 2018 5:34am|Edited                    2:54pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11079530#post11079530,595
extreme(1),ex4,https://www.forexfactory.com/attachment/file/2812348?d=1526859263,1127,"May 21, 2018 5:34am|Edited                    2:54pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11079530#post11079530,595
Level Sensor,ex4,https://www.forexfactory.com/attachment/file/2812444?d=1526870096,1145,"May 21, 2018 8:39am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11079746#post11079746,596
Level Sensor,mq4,https://www.forexfactory.com/attachment/file/2812445?d=1526870103,1244,"May 21, 2018 8:39am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11079746#post11079746,596
Trend {} Range,ex4,https://www.forexfactory.com/attachment/file/2812450?d=1526870243,1125,"May 21, 2018 8:39am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11079746#post11079746,596
Trend {} Range,mq4,https://www.forexfactory.com/attachment/file/2812453?d=1526870249,1298,"May 21, 2018 8:39am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11079746#post11079746,596
TRENDPOWER,tpl,https://www.forexfactory.com/attachment/file/2812456?d=1526870332,1004,"May 21, 2018 8:39am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11079746#post11079746,596
Period Converter,ex4,https://www.forexfactory.com/attachment/file/2815567?d=1527004039,766,"May 21, 2018 10:12pm|Edited                    May 22, 2018 9:48pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11082302#post11082302,599
Heiken Ashi MA,mq4,https://www.forexfactory.com/attachment/file/2815569?d=1527004049,751,"May 21, 2018 10:12pm|Edited                    May 22, 2018 9:48pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11082302#post11082302,599
(K) Kijun C-Cross,ex4,https://www.forexfactory.com/attachment/file/2815570?d=1527004055,753,"May 21, 2018 10:12pm|Edited                    May 22, 2018 9:48pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11082302#post11082302,599
